# time cosTheta cosPsi phi tag mistag
0.622396 -0.331703 -0.0539705 -2.79128 -1 0
2.49127 -0.935929 0.874955 -1.94751 1 0
0.706893 -0.978742 -0.633292 -0.842406 1 0
0.296192 0.484071 -0.0495056 3.07908 -1 0
0.207164 0.435381 0.107959 -2.7359 1 0
0.178226 -0.243495 -0.786978 0.209775 -1 0
1.79733 -0.763938 0.588175 -0.28245 1 0
0.086498 0.12557 0.855709 -2.60791 1 0
0.183937 -0.387267 -0.974077 1.55816 1 0
0.664943 -0.539105 0.433842 0.467806 -1 0
2.36233 -0.922855 0.372859 1.91278 -1 0
3.91059 -0.616141 0.623492 -0.463698 1 0
0.511716 0.429738 -0.83885 -1.24521 -1 0
0.25587 0.701236 0.696354 2.70136 -1 0
1.25645 0.111905 0.549796 -1.24678 -1 0
0.335376 -0.87419 -0.0858722 3.02342 -1 0
4.46072 -0.496649 0.779977 1.70765 1 0
0.339848 -0.130683 -0.628605 0.697489 1 0
0.245407 0.221334 -0.213566 -2.65453 1 0
2.54523 0.62417 -0.951599 1.61813 1 0
0.0651497 -0.709862 -0.175811 -1.25666 1 0
0.252041 -0.130711 0.53656 -0.497173 -1 0
3.55588 -0.26046 -0.849861 -2.50962 -1 0
1.1215 -0.209785 -0.784824 -2.15566 1 0
0.732185 0.902716 -0.954444 0.0963442 1 0
1.29462 -0.534671 0.95325 -1.76721 1 0
2.12999 0.475786 0.159035 2.59132 -1 0
0.512041 0.389281 -0.218027 -2.14341 1 0
1.92216 -0.478026 -0.814887 0.763785 -1 0
0.518495 -0.803647 -0.873552 1.88252 1 0
1.05245 0.491958 0.499503 0.773898 1 0
0.958732 -0.823995 -0.60003 -2.13955 -1 0
0.770647 -0.321439 0.985457 -1.8086 -1 0
0.0836199 -0.637175 -0.546796 -0.983825 -1 0
0.0467794 0.843492 -0.872993 -0.673119 1 0
0.729024 -0.294901 -0.517376 -2.20525 1 0
0.30675 -0.829189 -0.11325 -1.37546 1 0
2.3583 -0.827699 0.329023 -1.7759 -1 0
1.34505 0.615313 -0.864572 -1.57914 1 0
0.091908 0.506165 -0.773102 1.46121 -1 0
1.21031 -0.38273 -0.0903264 2.36733 1 0
3.71999 -0.906998 -0.755547 2.00866 -1 0
0.288428 0.728429 0.936076 -0.933086 1 0
1.85748 0.612325 0.431989 -3.03994 1 0
0.0918108 0.63883 0.160247 -0.265199 -1 0
0.257654 -0.881605 0.760139 1.0631 1 0
0.100838 0.233891 -0.536553 1.03358 1 0
1.9234 -0.02702 -0.416465 0.781016 -1 0
0.211845 0.501675 -0.253675 -2.55095 -1 0
1.40816 -0.822417 0.895402 1.96195 1 0
0.167586 -0.988287 0.16943 -2.14529 1 0
0.0429274 -0.532704 0.43417 -1.69629 -1 0
2.02975 -0.642185 -0.00781237 0.305863 -1 0
0.496466 0.210323 -0.452809 0.411058 1 0
0.376079 0.80519 -0.724009 2.07399 -1 0
2.41051 0.105291 -0.604146 1.32272 -1 0
0.360348 -0.437475 0.245322 -0.0766437 -1 0
0.44359 0.504989 -0.593287 -2.15113 1 0
